policy,seed,team_return,score,baseline_score,mission_success,destroyed_fraction,discovery_fraction,area_coverage,first_detection_step,active_agents,first_score_step,score_auc,targets,success_threshold,strike_attempts,strike_hits,agents_expended,agent_terminated,steps
heuristic,10026,-7.591666666666604,14.0,12.0,True,0.8,1.0,1.0,0,0,63,0.6204166666666676,5,12.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10027,-0.8333333333333417,14.0,9.0,True,0.8,1.0,1.0,0,0,47,0.9583333333333313,5,9.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10028,1.812500000000001,14.0,8.0,True,0.8,1.0,1.0,0,0,46,1.090625,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10029,-6.974999999999952,14.0,12.0,True,0.8,1.0,1.0,0,0,56,0.651250000000001,5,12.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10000,17.37999999999998,14.0,5.0,True,0.8,1.0,1.0,0,0,48,1.8690000000000049,5,5.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10001,-0.2666666666666746,14.0,9.0,True,0.8,1.0,1.0,0,0,56,0.9866666666666642,5,9.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10002,-2.32222222222223,14.0,9.0,True,0.8,1.0,1.0,0,0,68,0.8838888888888873,5,9.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10003,-5.363636363636356,14.0,11.0,True,0.8,1.0,1.0,0,0,55,0.7318181818181807,5,11.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10004,16.219999999999985,14.0,5.0,True,0.8,1.0,1.0,0,0,61,1.8110000000000042,5,5.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10005,14.239999999999986,14.0,5.0,True,0.8,1.0,1.0,0,0,65,1.7120000000000044,5,5.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10006,-6.624999999999992,14.0,12.0,True,0.8,1.0,1.0,0,0,56,0.6687500000000008,5,12.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10007,16.459999999999983,14.0,5.0,True,0.8,1.0,1.0,0,0,56,1.8230000000000048,5,5.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10008,-4.881818181818178,14.0,11.0,True,0.8,1.0,1.0,0,0,55,0.7559090909090901,5,11.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10009,2.6000000000000063,14.0,8.0,True,0.8,1.0,1.0,0,0,53,1.13,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10010,15.979999999999983,14.0,5.0,True,0.8,1.0,1.0,0,0,58,1.7990000000000044,5,5.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10011,1.1625000000000079,14.0,8.0,True,0.8,1.0,1.0,0,0,56,1.058125,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10012,-7.683333333333268,14.0,12.0,True,0.8,1.0,1.0,0,0,66,0.6158333333333342,5,12.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10013,1.3500000000000083,14.0,8.0,True,0.8,1.0,1.0,0,0,53,1.0675,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10014,-7.70833333333327,14.0,12.0,True,0.8,1.0,1.0,0,0,60,0.6145833333333343,5,12.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10015,-1.655555555555564,14.0,9.0,True,0.8,1.0,1.0,0,0,49,0.9172222222222206,5,9.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10016,1.8250000000000055,14.0,8.0,True,0.8,1.0,1.0,0,0,52,1.09125,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10017,2.337500000000009,14.0,8.0,True,0.8,1.0,1.0,0,0,53,1.116875,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10018,-1.8777777777777864,14.0,9.0,True,0.8,1.0,1.0,0,0,54,0.9061111111111094,5,9.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10019,-6.54166666666665,14.0,12.0,True,0.8,1.0,1.0,0,0,60,0.6729166666666674,5,12.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10020,1.95,14.0,8.0,True,0.8,1.0,1.0,0,0,48,1.0975,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10021,-1.722222222222231,14.0,9.0,True,0.8,1.0,1.0,0,0,53,0.9138888888888872,5,9.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10022,-5.218181818181809,14.0,11.0,True,0.8,1.0,1.0,0,0,48,0.739090909090908,5,11.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10023,2.087500000000009,14.0,8.0,True,0.8,1.0,1.0,0,0,54,1.104375,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10024,1.775000000000006,14.0,8.0,True,0.8,1.0,1.0,0,0,51,1.08875,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10025,-7.26666666666662,14.0,12.0,True,0.8,1.0,1.0,0,0,46,0.6366666666666678,5,12.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10026,-7.533333333333272,14.0,12.0,True,0.8,1.0,1.0,0,0,64,0.6233333333333343,5,12.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10027,-0.8111111111111193,14.0,9.0,True,0.8,1.0,1.0,0,0,48,0.9594444444444424,5,9.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10028,1.962500000000001,14.0,8.0,True,0.8,1.0,1.0,0,0,47,1.098125,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
mappo,10029,-6.9749999999999535,14.0,12.0,True,0.8,1.0,1.0,0,0,59,0.651250000000001,5,12.0,4,4,6,"[False, False, False, False, False, False]",200
