agent_transitions,team_return,score,baseline_score,mission_success,destroyed_fraction,discovery_fraction,area_coverage,first_detection_step,active_agents,first_score_step,score_auc,targets,success_threshold,strike_attempts,strike_hits,agents_expended,agent_terminated,steps
45588,-108.69999999999997,12.0,12.0,False,0.6,1.0,1.0,0,0,73,0.565,5,12.0,3,3,5,"[False, False, False, False, False]",200
45958,-1.1125000000000225,12.0,8.0,True,0.6,1.0,1.0,0,0,48,0.944375,5,8.0,3,3,5,"[False, False, False, False, False]",200
46307,-0.4250000000000168,12.0,8.0,True,0.6,1.0,1.0,0,0,48,0.97875,5,8.0,3,3,5,"[False, False, False, False, False]",200
46689,-1.475000000000023,12.0,8.0,True,0.6,1.0,1.0,0,0,50,0.92625,5,8.0,3,3,5,"[False, False, False, False, False]",200
47055,-0.8625000000000107,12.0,8.0,True,0.6,1.0,1.0,0,0,53,0.956875,5,8.0,3,3,5,"[False, False, False, False, False]",200
47438,-3.388888888888893,12.0,9.0,True,0.6,1.0,1.0,0,0,53,0.8305555555555562,5,9.0,3,3,5,"[False, False, False, False, False]",200
47806,11.240000000000007,12.0,5.0,True,0.6,1.0,1.0,0,0,56,1.5619999999999985,5,5.0,3,3,5,"[False, False, False, False, False]",200
48218,-108.25833333333331,12.0,12.0,False,0.6,1.0,1.0,0,0,54,0.5870833333333334,5,12.0,3,3,5,"[False, False, False, False, False]",200
48638,-108.34999999999998,12.0,12.0,False,0.6,1.0,1.0,0,0,72,0.5825,5,12.0,3,3,5,"[False, False, False, False, False]",200
49041,-108.02499999999999,12.0,12.0,False,0.6,1.0,1.0,0,0,65,0.59875,5,12.0,3,3,5,"[False, False, False, False, False]",200
49498,-5.166666666666664,12.0,9.0,True,0.6,1.0,1.0,0,0,59,0.7416666666666667,5,9.0,3,3,5,"[False, False, False, False, False]",200
49870,-3.077777777777783,12.0,9.0,True,0.6,1.0,1.0,0,0,56,0.8461111111111117,5,9.0,3,3,5,"[False, False, False, False, False]",200
50207,-0.012500000000012237,12.0,8.0,True,0.6,1.0,1.0,0,0,56,0.999375,5,8.0,3,3,5,"[False, False, False, False, False]",200
50674,-8.390909090909048,12.0,11.0,True,0.6,1.0,1.0,0,0,65,0.5804545454545464,5,11.0,4,4,5,"[False, False, False, False, False]",200
51148,-5.527777777777774,12.0,9.0,True,0.6,1.0,1.0,0,0,56,0.7236111111111114,5,9.0,4,4,5,"[False, False, False, False, False]",200
51481,0.062499999999983846,12.0,8.0,True,0.6,1.0,1.0,0,0,51,1.003125,5,8.0,3,3,5,"[False, False, False, False, False]",200
51908,-7.509090909090893,12.0,11.0,True,0.6,1.0,1.0,0,0,59,0.6245454545454555,5,11.0,3,3,5,"[False, False, False, False, False]",200
52379,-109.425,12.0,12.0,False,0.6,1.0,1.0,0,0,69,0.52875,5,12.0,3,3,5,"[False, False, False, False, False]",200
52742,-0.7625000000000097,12.0,8.0,True,0.6,1.0,1.0,0,0,60,0.961875,5,8.0,3,3,5,"[False, False, False, False, False]",200
53124,-1.4125000000000174,12.0,8.0,True,0.6,1.0,1.0,0,0,60,0.929375,5,8.0,3,3,5,"[False, False, False, False, False]",200
53519,-3.555555555555559,12.0,9.0,True,0.6,1.0,1.0,0,0,56,0.8222222222222227,5,9.0,3,3,5,"[False, False, False, False, False]",200
53899,-1.337500000000016,12.0,8.0,True,0.6,1.0,1.0,0,0,62,0.933125,5,8.0,3,3,5,"[False, False, False, False, False]",200
54323,-108.53333333333332,12.0,12.0,False,0.6,1.0,1.0,0,0,48,0.5733333333333334,5,12.0,3,3,5,"[False, False, False, False, False]",200
54710,-1.5875000000000197,12.0,8.0,True,0.6,1.0,1.0,0,0,57,0.920625,5,8.0,3,3,5,"[False, False, False, False, False]",200
55089,-1.362500000000021,12.0,8.0,True,0.6,1.0,1.0,0,0,53,0.931875,5,8.0,3,3,5,"[False, False, False, False, False]",200
55503,-2.375000000000017,12.0,8.0,True,0.6,1.0,1.0,0,0,66,0.88125,5,8.0,3,3,5,"[False, False, False, False, False]",200
55890,-3.4777777777777814,12.0,9.0,True,0.6,1.0,1.0,0,0,53,0.8261111111111116,5,9.0,3,3,5,"[False, False, False, False, False]",200
56253,-0.8500000000000176,12.0,8.0,True,0.6,1.0,1.0,0,0,55,0.9575,5,8.0,3,3,5,"[False, False, False, False, False]",200
56590,-0.10000000000002006,12.0,8.0,True,0.6,1.0,1.0,0,0,45,0.995,5,8.0,3,3,5,"[False, False, False, False, False]",200
56919,12.70000000000001,12.0,5.0,True,0.6,1.0,1.0,0,0,52,1.634999999999999,5,5.0,3,3,5,"[False, False, False, False, False]",200
57348,-4.5777777777777775,12.0,9.0,True,0.6,1.0,1.0,0,0,67,0.7711111111111112,5,9.0,3,3,5,"[False, False, False, False, False]",200
57729,-1.3750000000000167,12.0,8.0,True,0.6,1.0,1.0,0,0,60,0.93125,5,8.0,3,3,5,"[False, False, False, False, False]",200
58103,-1.2125000000000208,12.0,8.0,True,0.6,1.0,1.0,0,0,52,0.939375,5,8.0,3,3,5,"[False, False, False, False, False]",200
58534,8.639999999999992,12.0,5.0,True,0.6,1.0,1.0,0,0,52,1.4319999999999993,5,5.0,3,3,5,"[False, False, False, False, False]",200
58956,-7.4136363636363685,12.0,11.0,True,0.6,1.0,1.0,0,0,55,0.6293181818181828,5,11.0,4,4,5,"[False, False, False, False, False]",200
59310,-0.6125000000000203,12.0,8.0,True,0.6,1.0,1.0,0,0,48,0.969375,5,8.0,3,3,5,"[False, False, False, False, False]",200
59745,-108.69999999999999,12.0,12.0,False,0.6,1.0,1.0,0,0,63,0.565,5,12.0,4,4,5,"[False, False, False, False, False]",200
60162,-4.122222222222224,12.0,9.0,True,0.6,1.0,1.0,0,0,70,0.7938888888888891,5,9.0,3,3,5,"[False, False, False, False, False]",200
60535,-1.050000000000009,12.0,8.0,True,0.6,1.0,1.0,0,0,49,0.9475,5,8.0,3,3,5,"[False, False, False, False, False]",200
60992,-8.181818181818123,12.0,11.0,True,0.6,1.0,1.0,0,0,61,0.5909090909090918,5,11.0,3,3,5,"[False, False, False, False, False]",200
61395,-3.888888888888891,12.0,9.0,True,0.6,1.0,1.0,0,0,55,0.8055555555555558,5,9.0,3,3,5,"[False, False, False, False, False]",200
61846,-4.994444444444443,12.0,9.0,True,0.6,1.0,1.0,0,0,55,0.7502777777777778,5,9.0,4,4,5,"[False, False, False, False, False]",200
62179,0.13749999999999044,12.0,8.0,True,0.6,1.0,1.0,0,0,45,1.006875,5,8.0,3,3,5,"[False, False, False, False, False]",200
62640,-8.31363636363631,12.0,11.0,True,0.6,1.0,1.0,0,0,52,0.5843181818181826,5,11.0,4,4,5,"[False, False, False, False, False]",200
63023,-3.3777777777777818,12.0,9.0,True,0.6,1.0,1.0,0,0,44,0.8311111111111117,5,9.0,3,3,5,"[False, False, False, False, False]",200
63414,-1.6500000000000148,12.0,8.0,True,0.6,1.0,1.0,0,0,66,0.9175,5,8.0,3,3,5,"[False, False, False, False, False]",200
63772,-0.750000000000022,12.0,8.0,True,0.6,1.0,1.0,0,0,46,0.9625,5,8.0,3,3,5,"[False, False, False, False, False]",200
64106,0.04999999999998528,12.0,8.0,True,0.6,1.0,1.0,0,0,42,1.0025,5,8.0,3,3,5,"[False, False, False, False, False]",200
64527,-4.366666666666667,12.0,9.0,True,0.6,1.0,1.0,0,0,69,0.7816666666666668,5,9.0,4,4,5,"[False, False, False, False, False]",200
65045,-6.8555555555555525,12.0,9.0,True,0.6,1.0,1.0,0,0,64,0.6572222222222217,5,9.0,4,4,5,"[False, False, False, False, False]",200
65392,-2.3888888888888964,12.0,9.0,True,0.6,1.0,1.0,0,0,45,0.8805555555555564,5,9.0,3,3,5,"[False, False, False, False, False]",200
65839,-108.92499999999998,12.0,12.0,False,0.6,1.0,1.0,0,0,69,0.55375,5,12.0,3,3,5,"[False, False, False, False, False]",200
66275,-7.745454545454517,12.0,11.0,True,0.6,1.0,1.0,0,0,52,0.6127272727272737,5,11.0,3,3,5,"[False, False, False, False, False]",200
66726,-5.1222222222222324,12.0,9.0,True,0.6,1.0,1.0,0,0,73,0.7438888888888887,5,9.0,4,4,5,"[False, False, False, False, False]",200
67092,-0.9125000000000152,12.0,8.0,True,0.6,1.0,1.0,0,0,60,0.954375,5,8.0,3,3,5,"[False, False, False, False, False]",200
67431,-0.012500000000006908,12.0,8.0,True,0.6,1.0,1.0,0,0,46,0.999375,5,8.0,3,3,5,"[False, False, False, False, False]",200
67782,-0.4750000000000159,12.0,8.0,True,0.6,1.0,1.0,0,0,48,0.97625,5,8.0,3,3,5,"[False, False, False, False, False]",200
68266,-109.69166666666666,12.0,12.0,False,0.6,1.0,1.0,0,0,70,0.5154166666666666,5,12.0,3,3,5,"[False, False, False, False, False]",200
68690,-2.737500000000021,12.0,8.0,True,0.6,1.0,1.0,0,0,58,0.863125,5,8.0,3,3,5,"[False, False, False, False, False]",200
69100,-3.9444444444444464,12.0,9.0,True,0.6,1.0,1.0,0,0,60,0.8027777777777781,5,9.0,3,3,5,"[False, False, False, False, False]",200
69533,-4.755555555555555,12.0,9.0,True,0.6,1.0,1.0,0,0,67,0.7622222222222222,5,9.0,3,3,5,"[False, False, False, False, False]",200
69865,0.08749999999998333,12.0,8.0,True,0.6,1.0,1.0,0,0,50,1.004375,5,8.0,3,3,5,"[False, False, False, False, False]",200
70229,-0.7750000000000081,12.0,8.0,True,0.6,1.0,1.0,0,0,58,0.96125,5,8.0,3,3,5,"[False, False, False, False, False]",200
70603,-1.1625000000000163,12.0,8.0,True,0.6,1.0,1.0,0,0,53,0.941875,5,8.0,3,3,5,"[False, False, False, False, False]",200
71005,-3.87777777777778,12.0,9.0,True,0.6,1.0,1.0,0,0,58,0.8061111111111114,5,9.0,3,3,5,"[False, False, False, False, False]",200
71514,-110.2,12.0,12.0,False,0.6,1.0,1.0,0,0,73,0.49,5,12.0,3,3,5,"[False, False, False, False, False]",200
71925,-108.21666666666665,12.0,12.0,False,0.6,1.0,1.0,0,0,59,0.5891666666666666,5,12.0,3,3,5,"[False, False, False, False, False]",200
72376,-5.188888888888886,12.0,9.0,True,0.6,1.0,1.0,0,0,70,0.7405555555555554,5,9.0,3,3,5,"[False, False, False, False, False]",200
72738,-0.7750000000000135,12.0,8.0,True,0.6,1.0,1.0,0,0,51,0.96125,5,8.0,3,3,5,"[False, False, False, False, False]",200
73065,0.28749999999998777,12.0,8.0,True,0.6,1.0,1.0,0,0,56,1.014375,5,8.0,3,3,5,"[False, False, False, False, False]",200
73536,-109.42083333333333,12.0,12.0,False,0.6,1.0,1.0,0,0,70,0.5289583333333333,5,12.0,4,4,5,"[False, False, False, False, False]",200
74001,-109.3,12.0,12.0,False,0.6,1.0,1.0,0,0,69,0.535,5,12.0,3,3,5,"[False, False, False, False, False]",200
74448,-108.96666666666664,12.0,12.0,False,0.6,1.0,1.0,0,0,59,0.5516666666666667,5,12.0,3,3,5,"[False, False, False, False, False]",200
74769,0.46249999999998737,12.0,8.0,True,0.6,1.0,1.0,0,0,51,1.023125,5,8.0,3,3,5,"[False, False, False, False, False]",200
